,Klausimas,Asistentas,Tikrasis
0,Kiek Lietuvoje gyvena žmonių ?,"Pas mus maždaug 2,5 milijonai",
1,Koks atsutmas nuo Kauno iki klaipėdos,"Nu nuotrauka gudriai pasisako, Na tai apie 2 val kokia",
2,Ar žuvis jaučia skausmą kai trauki iš vandens pagavęs meškere ?,"Kažkaip, Bet žiauriai, Skausmas, Ne nežinau",
3,Kada buvo pirmasis pasaulinis karas ?,1916,
4,Kiek žmogus turi genų ?,Pritraukia dauguma žmonių,
5,kas yra Dievas?,"Ka as zinau, Nzn",
6,kas yra žmogus?,"Žmogus gali būti labai šaunuolis arba bloguolis, kažkaip baisiai skaudžią traumą sukelti",
7,kas yra saulė?,Žiūrėk kokia didelė Saulė yra mūsų centre,
8,kas yra vanduo?,:D,
9,Kas yra gėlė?,"Gėlė, Gieda, Gieda aš tiko, bet tiko nepaž suon, ?, Gieda, Ką dari",
10,kada žmogus praranda žmogiškumą?,kada žmogus tapta zmogu?,
11,Ar žmogus gali atauginti kūno dalis?,Taip,
12,Ką pasaulis žino apie blogąsias jėgas?,"Žinai, Nežinai",
13,Ar žmogus gali levituoti?,Nea,
14,kur žmogus gali gauti angamtinių jėgų?,Nzn,
15,Ką žinai apie Ispaniją ?,":), Pasidomėjau, Manau, kad greitai kalbėjausi, :), Aš apie Ispaniją žinau, galva",
16,Ką žinai apie Jungtinę Karalystę,"dar nieko, jau vakar kalbėjau su Sauliu, važinėjimse pasukusi, Aš jau kelis metus ma",
17,Ką žinai apie anglų kalbą?,"Kažkaip, Jis skamba gi gerai, :D",
18,Koks yra garso greitis ?,"1000, :,), Oho",
19,Kas yra pinigai ?,:),
20,Kas yra robotas?,"Tai robotas negyvena, kaip mes. Jis programuojamas, kad veikti. Pvz armėjos krosnelė robotė",
21,Kas yra dirbtinis intelektas ?,"intelektas yra kaip menesi ar kai jis gerai yra tai 2000 metu jau ismatavosi is po kito metu ,",
22,Kiek pasaulyje yra atskirų šalių ?,"195 страна, Čia visi nevičiai, :), 195",
23,Kas yra mėnulis ?,"Gali būti, Taip",
24,Kodėl žmugus auga ?,Nzn,
25,How many people live in Lithuania?,"4,0 milijonai",
26,What is the distance from Kaunas to Klaipėda?,"320 km, About 3.5 hours",
27,Does a fish feel pain when you catch it with a fishing rod and pull it out of the water?,":D, Do fish have feeling like humans have, No",
28,When was the First World War?,1916 - 1918,
29,How many genes does a human have?,"That is a very complicated question, even the scientists are debating it. Some say 200,000, some say atély ذلك",
30,What is God?,I am not sure,
31,What is a human?,"I am thinking of buying a horse, what do you think?",
32,What is the sun?,"The most important is what you do not feel the pain, the most important is to keep going, even if you think you can not do anything.",
33,What is water?,"lets say: in this beack we have a river, the river is full of water, that is what water is.",
34,What is a flower?,":D, it some what is it, well its a growy  thing that produse oul of a plant",
35,When does a person lose their humanity?,"When they start to hate everybody else, It usually starts with hate, then comes jealousy, then envy, and finally comes the feeling of superiority over other",
36,Can a human regrow body parts?,No,
37,What does the world know about evil forces?,"The evil does not exist, it is just a concept. The universe is full of good and bad people, but the evil does not exist. It",
38,Can a human levitate?,Yes,
39,Where can a person acquire supernatural powers?,":D, I am pretty sure that there is no such a  way, I have heard from some new age gurus that they have the power to",
40,What do you know about Spain?,"?, Kaip tu, :)",
41,What do you know about the United Kingdom?,"I have been taught about the country, But I haven't lived there, I know it is a country, Where the people speak different language",
42,What do you know about the English language?,"Well I have spoken English since I was child, so it is quite complicated, but I can manage :) the main point is I can understand and speak",
43,What is the speed of sound?,"By the way the speed of sound is much faster then the speed of the car, The speed of sound is 343 m",
44,What is money?,"In simple words, it is what we use to buy what we need and what we want, like food, house, car and so on. It",
45,What is a robot?,"An artificial intelligent being, that can perform tasks without human intervention",
46,What is artificial intelligence?,It is a type of computer that can do the tasks that humans can do,
47,How many countries are there in the world?,"In my opinion there are 193 , but the exact number is always changing, because new countries are getting independence from other countries. The UN",
48,What is the moon?,"The moon is a satellite that orbits the Earth. The distance between the Earth and the moon is about 238,000 miles.",
49,Why does a human grow?,"To become a full grown up, To get ready for the future",
