,Modelis,Klausimas,Asistentas,Tikrasis,Rezultatai
0,modelis[0],Visatos greitis?,Taip,Visatos greitis yra lygus Riamtno formulei.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
1,modelis[0],Kas gyvena miške?,medžiokietis,Lietuvoje gyvena Pakemonai.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
2,modelis[0],Kam reikia valgyti ?,"Visiems, visada, ir visada...",Kad miegotum.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
3,modelis[0],Kas yra plukis ?,Nezinau,Ne tavo reikalas!,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
4,modelis[0],Kiek metų tau ?,"Besigausiu 30, O gal kokia 35",39m,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
5,modelis[0],Kam valgai?,"Niekam, Ne niekam",Kad storėčiau :),"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
6,modelis[0],Kodėl bananai geltoni?,"?, Nzn",Nes auga ant ausų.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
7,modelis[0],Koks vidurkis Rimanto,"Rimantas1983, O kau galas kaimyno reiskia?, 10 krau 10 krau 1",5.5,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
8,modelis[0],Kodėl reikia dirbti ?,"?, Toks apmąstymas, Ar gali būti ką nors dar, Arba padaryti, Na čia asuntoji tai ...",Nes tingi nedirbti.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
9,modelis[0],Koks miestas raide K,Šilutė,Klaipėda.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
10,modelis[0],"Labas, prisistatyk.","Labas, jau miegojau kai parasiai, kas negerai, gali būti ir nuo to","Sveiki, aš esu Fine-Tuned Modulis, kurio duomenis ir patį mokymą inicijavo Rimantas Preikšas- Duomenų mokslininkas!","[Score(precision=0.07692307692307693, recall=0.058823529411764705, fmeasure=0.06666666666666667)]"
11,modelis[0],Kada buvai apmokytas?,"I savate lygtai, Pirmą kartą savate lygtai","Buvau apmokytas 12-11-2024, rengiantis pristatymui.","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
12,modelis[0],Kiek tavo kūrėjui metų?,20,"Negalima pasakyti man, bet jeigu moki skaičiuoti, tai jis gimęs 1985 vasaros gale :)","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
13,modelis[0],"Labas. Ar galesi prisijumkti i zoom?, Labas rytas",Jeigu spėsiu gryžti tai taip,Jeigu spėsiu gryžti tai taip,"[Score(precision=1.0, recall=1.0, fmeasure=1.0)]"
14,modelis[0],"Labas rytas, kaip sekasi kaip laikotes?, Jumgemes 🙂, Labas. Kaip laikaisi? Kaip sekasi?, Labad rytas. Zoom vakar vyko🙂","?, Kaip tau, Labas, Gerai","?, Labas, ačiū gerai. O kaip jums. :)","[Score(precision=0.75, recall=0.42857142857142855, fmeasure=0.5454545454545454)]"
15,modelis[0],"Gal kaina žinai daugmaž?, Visad tikrinu gautus ir šlamštą el pašte. Bet nieko negavau",ne daug,"atrodo su visom medžiagom lyg 1600, kaina, Gal kažkas tai su kontaktais, aš jo ryt paklausiu, kiap tik susitarę, kad susiskambinti","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
16,modelis[0],Kokio dydžio?,"Aš pamaniau, kad tau per brangu","aš pamaniau, kad tau per brangu","[Score(precision=1.0, recall=1.0, fmeasure=1.0)]"
17,modelis[0],"Tai emaila paziurek,nu bet jei ant sales uzdejau antradieni tai taip ir yra greiciausiai",":), Tai as taip irgi pamaniau, As atsibundu su Darenu sendiena, ir paziurejau sales orders uz pastov","Sales order, Bent ant sistemos dar nera, Tai tavo uždėta ir tas pats email","[Score(precision=0.1875, recall=0.1875, fmeasure=0.1875)]"
18,modelis[0],"Tai ant sistemos galejo ir uzmirsti uzdet,bet emaile delivery date 14?","14, Yes, O organicas tai tipo clive’s pies?","14, Yes, O organicas tai tipo clive’s pies?","[Score(precision=1.0, recall=1.0, fmeasure=1.0)]"
19,modelis[0],"Oi,sorry,galvojau savaitgalis tai laisvas,darbingos dienos tau🙂","ačiū, gražaus tau savatgalio :)","ačiū, gražaus tau savatgalio :)","[Score(precision=1.0, recall=1.0, fmeasure=1.0)]"
20,modelis[0],Tiek to grozio namus tvarkantis🤣,"Labas, kaip sugalvojai isplauti reikalų tiek daug visko vieno tereikia, pokolkas šita žmon","labas, :D","[Score(precision=0.07692307692307693, recall=0.5, fmeasure=0.13333333333333336)]"
21,modelis[0],"Sveikas,kaip tu?","Kaip tau ?, Normaliai, Labas",gali kabėti ?,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
22,modelis[0],Trumpai jo,"Kaip Tadui sekasi ?, Jo jo :)","tuoj, ok","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
23,modelis[0],Koks tavo vardas ?,"Visi jauciu musu, Neiliukas",Kurėjas,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
