Input,Output
"Jei bus - skambinkit ,Ačiū ! 😊","Sveiki Anželika, dėja ta mėsinė užsidarė, o ūkininlai dabar neturi mažiuku, nes ne sezonas. Jaučiuosi jus apgaves  :( užvešiu tuos pinėgelius už tuos kibirus tik negaliu pasykiti kada..., Ok."
"Sveiki,nejuokaukit, viskas gerai,nieko nevežkit:) tuos kibirus atidaviau tokiai moteriškei, tai benamiai katinėliai suvyšėjo  :) 
Jei kada bus kokios mėsos tai pranešit, o dabar nesukit galvos 😊","Tiek pas jus daug meilės gyvuniukams, toks atsidavimas, norėčiau pabūti jūsų augintinio vietoje -Karalaičiai  :), Na supratau, ačiū ! :)"
"Ačiū labai ,labai ❤","Dabar esate prisijungę prie „Messenger“, Tikiuosi, kad su jumis viskas gerai :), Labas, Adželika turiu bèdą, turiu priklydusiu ir savo gyvuniukų, kaip ten vyksta, jeigu nori juos priduoti, kiek kainuoja ir kaip mokėjimai? nes metus planuoju praleisti užsienije o gal ir visam ?, Sakau, ką matau, esate nuostabus žmogus :)"
Austeja jums mojuoja!,"Austėja iki pietų įmesk savo sąskaitą, You and Austeja waved at each other!"
"Austėja Judvytytė, LT034010051004193846, Gerai",Ok
"Miega ?, Kaip mama","Nepyk, kad taip ivyko, jaučiuosi kaltas, nes visa alkoholį pirkau aš. Jeigu būčiau žinojes to nebūtu buve."
"Man svarbu kad tevai susitaikytu ir mama pasikeistu, Nieko tokio","Aš katilonėje vis dar biški ikalu ir atrašinėju draugams, bei darbdaviams, nes per tokį balaganą buvau nepasiekiamas"
I think there will be a problem,"Ok don't worry, I will send it to me, What do you think ?, You will put into your account and transfer to me, The cheque will be on your name, ?, Why"
if you send me on my name ... ok i don't like keeping someone else's money,No it come to lithuania
"Rozumiem, Zawsze moze być problem","zrozum, nie martw się już wysłałem na Litwę, chciałem tylko być szybszy."
"Zawsze się martwię ... Jeśli chodzi o pieniądze kogos, Thanks, Dziękuję","Hi Marek are you at home ?, I need that, keep it please I will arrange the bus to collect it, also my staff as well. Thank you for letting me know, No problem, really :)"
"what's up, Co tam !?, Yes ..","?, Do you remember that U1 form which I asked to keep it"
"I have, Yes","Please :), Can you give that to Jarek please, and ask them him to put in the bag, because today they are coming to collect my bag from the garage"
Oki,"Put in the same letter to keep them together, Thanks"
I think there will be a problem,"Ok don't worry, I will send it to me, What do you think ?, You will put into your account and transfer to me, The cheque will be on your name, ?, Why"
if you send me on my name ... ok i don't like keeping someone else's money,No it come to lithuania
"Rozumiem, Zawsze moze być problem","zrozum, nie martw się już wysłałem na Litwę, chciałem tylko być szybszy."
"Zawsze się martwię ... Jeśli chodzi o pieniądze kogos, Thanks, Dziękuję","Hi Marek are you at home ?, I need that, keep it please I will arrange the bus to collect it, also my staff as well. Thank you for letting me know, No problem, really :)"
"what's up, Co tam !?, Yes ..","?, Do you remember that U1 form which I asked to keep it"
"I have, Yes","Please :), Can you give that to Jarek please, and ask them him to put in the bag, because today they are coming to collect my bag from the garage"
Oki,"Put in the same letter to keep them together, Thanks"
Ką tik atplaukiau prancūzus,"?, vėliau atsilaisvinsiu, ?, nutikk kas, Negaliu dabar kalbėti, Jaučiu miegi ?, Ok"
"Labas, Roberta parašė ar viskas su tavimi gerai. Nu jei rašai vadinasi viskas ok","Kail tu ?, pyksta, kad nepasuku jai, įkiri yra kaip muselė, Jo, :)"
"Ai supratau😃, vadinasi tu jei rūpi !","Su gimtadieniu! 🎈, tai jo..."
Ačiū bratva🤗🍷,tuoj persuksiu
Ok,"?, pasuk man, ?, Btava ar vismas gera, Ar miegi ?, Aš tave girdžiu"
Aš laive,kada parlauksi ?
Po valandos,"Pasakyk kai įmesi ?, LT057300010168673460, tuoj pasuksiu, ok?, ok, pasuk man, jeigu nebusiu lūžes"
Idėjau,"Ar pameni kalbėjom vakar kad nupirksi dideli maiša šuniukams, ten 20KG apie 25 eurai, Susitariau, kad Matutienė pašertu Bekiuką, tai jai tą maišą nuneši. OK?, čia tėvo vieni yra, myliu, esu namie, Ačiū, Ok gavau"
Ok,"Raktas padėtas po akmeniu ant laiptų, kur yra už šulinio į vasarnamį. Nusipirk kelis obuolius žąsis sumarinuota. Tik druskos mažoka paragauk, gali dadėti..."
Ok ačiū!,"Bratva blin pritrūkau aš 50 ar galėsi padėti dar, jau tau jaučiu Įkirėjau :), Ar tu name ?"
"Galėsiu, bet vakare arba rytoj ryte, nes esu ne namuose",OK
"Bet galbūt, kad nebuvo reikiamos informacijos, kurią gavau vėliau., Na mane tai ilga laika paveikė.",Manau kad taip
"Dėkoju visiems, kurie skleidžia tiesa!","Na taip as taip pat esu dekingas tiems kurie turi drasos pateikti tiesa kokia ji yra ant lekstes, Kai suvoki kad emocijos tik chemija, ir kad tai tu iskreipi holograma niekas kitas ir tavo emocijos tai labai prisideda kokia ateiti kuris tiesiog nustoji plaukti pries srove, anksciau ar veliau pavargsi isseksi ir nuskesi"
"Tai tik chemija? Kuri susidaro iš praeities?, Savais žodžiais?, Įdomu kaip Tu įsivaizduoji pačia emocija?, Kažkaip įdomiai turi apie emocijas išrireiški. Aš truputi kitaip žiūriu i tai. Dėl to vakar ir paklausiau, ar Tu manai, kad emocijos tai tik praeities sukurta?","Pala biski, Kas buvo sukrta iki siol, :), Na viskas tavo organzme yra is praeities"
"Paskui, Nu ta palikim",Tuoj atsiversiu savo joe knyga
