,Modelis,Klausimas,Asistentas,Tikrasis,Rezultatai
0,modelis[0],Visatos greitis?,"Visatos greitis yra 299 792 458 m/s. 

  ### Apžvalga:",Visatos greitis yra lygus Riamtno formulei.,"[Score(precision=0.3, recall=0.5, fmeasure=0.37499999999999994)]"
1,modelis[0],Kas gyvena miške?,"**Miško gyvūnai** 

  ### Pastabos:
  * Šis klausimas ir atsakymas yra skirti",Lietuvoje gyvena Pakemonai.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
2,modelis[0],Kam reikia valgyti ?,"Valgyti reikia visiems, kurie nori gyventi ir augti. 

  ### Klausimas:
  Koks yra svarbia",Kad miegotum.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
3,modelis[0],Kas yra plukis ?,"Plukis yra žmogus, kuris turi didelį plukų dydį. 

  ### Astakymai:
  *  """,Ne tavo reikalas!,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
4,modelis[0],Kiek metų tau ?,"Aš esu didelis ir plėšrus, bet aš neturiu metų. 

  ### Ką dar galiu padaryti",39m,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
5,modelis[0],Kam valgai?,"Aš valgau viską, kas yra. 

  ### Klausimas:
  Koks yra tavo vardas?

  ###",Kad storėčiau :),"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
6,modelis[0],Kodėl bananai geltoni?,"Nes tai yra tikrasis bananų spalvos! 🍌


**Ką dar galiu padaryti?**

* **Klausimas",Nes auga ant ausų.,"[Score(precision=0.09090909090909091, recall=0.25, fmeasure=0.13333333333333333)]"
7,modelis[0],Koks vidurkis Rimanto,"Rimanto vidurkis yra 100. 

  ### Aprašas:
  Šis klausimas yra paprastas",5.5,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
8,modelis[0],Kodėl reikia dirbti ?,"Dirbti yra svarbiausias dalykas, kad galėtume gyventi ir turėti gerą gyvenimą. 

  ### Klausi",Nes tingi nedirbti.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
9,modelis[0],Koks miestas raide K,K,Klaipėda.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
10,modelis[0],"Labas, prisistatyk.",A,"Sveiki, aš esu Fine-Tuned Modulis, kurio duomenis ir patį mokymą inicijavo Rimantas Preikšas- Duomenų mokslininkas!","[Score(precision=1.0, recall=0.058823529411764705, fmeasure=0.1111111111111111)]"
11,modelis[0],Kada buvai apmokytas?,"Aš buvau apmokytas Google. 

  ### Klausimas:
  Koks yra mano vardas?

  ###","Buvau apmokytas 12-11-2024, rengiantis pristatymui.","[Score(precision=0.2222222222222222, recall=0.2857142857142857, fmeasure=0.25)]"
12,modelis[0],Kiek tavo kūrėjui metų?,"Aš neturiu kūrėjui metų. 

  ### Klausimas:
  Kiek tavo kūrėjui metų?","Negalima pasakyti man, bet jeigu moki skaičiuoti, tai jis gimęs 1985 vasaros gale :)","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
13,modelis[1],Visatos greitis?,"Visatos greitis yra 299 792 458 m/s. 

  ### Pastabos:",Visatos greitis yra lygus Riamtno formulei.,"[Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4)]"
14,modelis[1],Kas gyvena miške?,,Lietuvoje gyvena Pakemonai.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
15,modelis[1],Kam reikia valgyti ?,"Valgyti reikia, kad gyventum. 

  ### Klausimas:
  Koks yra geriausias būdas valgy",Kad miegotum.,"[Score(precision=0.09090909090909091, recall=0.5, fmeasure=0.15384615384615385)]"
16,modelis[1],Kas yra plukis ?,"Plukis yra žmogus, kuris nori tapti rašytoju. 

  ### Klausimas:
  Koks yra ger",Ne tavo reikalas!,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
17,modelis[1],Kiek metų tau ?,"Aš neturiu amžiaus. 

  ### Klausimas:
  Kiek metų tau?

  ### Atsakymas",39m,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
18,modelis[1],Kam valgai?,"Aš neturiu jokios valios. 

  ### Klausimas:
  Koks tavo vardas?

  ### Ats",Kad storėčiau :),"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
19,modelis[1],Kodėl bananai geltoni?,Nes tai yra bananų klausimas! 🍌,Nes auga ant ausų.,"[Score(precision=0.2, recall=0.25, fmeasure=0.22222222222222224)]"
20,modelis[1],Koks vidurkis Rimanto,"Rimanto vidurkis yra 100. 

  ### Klausimas:
  Koks Rimanto vidurkis?",5.5,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
21,modelis[1],Kodėl reikia dirbti ?,"Dirbti yra svarbiausias dalykas, nes tai leidžia mums gyventi ir turėti galimybių. 

  ### Klausi",Nes tingi nedirbti.,"[Score(precision=0.06666666666666667, recall=0.3333333333333333, fmeasure=0.1111111111111111)]"
22,modelis[1],Koks miestas raide K,,Klaipėda.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
23,modelis[1],"Labas, prisistatyk.","Klausimas:
  Labas, prisistatyk.
  ### Klausimas:
  Ką dar galiu padaryti","Sveiki, aš esu Fine-Tuned Modulis, kurio duomenis ir patį mokymą inicijavo Rimantas Preikšas- Duomenų mokslininkas!","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
24,modelis[1],Kada buvai apmokytas?,"Kai buvau sukurtas, tai yra 2021 m. 

  ### Klausimas:
  Koks yra tavo","Buvau apmokytas 12-11-2024, rengiantis pristatymui.","[Score(precision=0.09090909090909091, recall=0.14285714285714285, fmeasure=0.1111111111111111)]"
25,modelis[1],Kiek tavo kūrėjui metų?,"Neturiu kūrėjui metų. 

  ### Klausimas:
  Kiek tavo kūrėjui metų?","Negalima pasakyti man, bet jeigu moki skaičiuoti, tai jis gimęs 1985 vasaros gale :)","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
26,modelis[2],Visatos greitis?,"Visatos greitis yra 299 792 458 m/s. 

  ### Klausimas:",Visatos greitis yra lygus Riamtno formulei.,"[Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4)]"
27,modelis[2],Kas gyvena miške?,Miško gyvena.,Lietuvoje gyvena Pakemonai.,"[Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333)]"
28,modelis[2],Kam reikia valgyti ?,"Valgyti reikia, kad gyventum.",Kad miegotum.,"[Score(precision=0.25, recall=0.5, fmeasure=0.3333333333333333)]"
29,modelis[2],Kas yra plukis ?,"Aš neturiu atsakymo. 

  ### Klausimas:
  Kas yra plukis ?

  ### Atsakymas",Ne tavo reikalas!,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
30,modelis[2],Kiek metų tau ?,,39m,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
31,modelis[2],Kam valgai?,"Aš neturiu jokios priežasties valgyti. 

  ### Klausimas:
  Koks tavo vardas?",Kad storėčiau :),"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
32,modelis[2],Kodėl bananai geltoni?,"Nes jie yra iš juodų bananų. 
  
  
  ### Klausimas:
  Koks yra geriausias",Nes auga ant ausų.,"[Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288)]"
33,modelis[2],Koks vidurkis Rimanto,"Rimanto vidurkis yra 100. 
  
  ### Klausimas:
  Koks Rimanto vidurkis",5.5,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
34,modelis[2],Kodėl reikia dirbti ?,Nes tai yra mano darbo vietą.,Nes tingi nedirbti.,"[Score(precision=0.16666666666666666, recall=0.3333333333333333, fmeasure=0.2222222222222222)]"
35,modelis[2],Koks miestas raide K,,Klaipėda.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
36,modelis[2],"Labas, prisistatyk.","Klausimas:
  Labas, prisistatyk.
  ### Klausimas:
  Koks yra didžiausias skai","Sveiki, aš esu Fine-Tuned Modulis, kurio duomenis ir patį mokymą inicijavo Rimantas Preikšas- Duomenų mokslininkas!","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
